comment,channel_name,date,like_count,dislike_count
BADUT JUARA M1😂,@cikufix5712,2024-08-09 14:09:19+00:00,0,0
Hijume langsung di turun kan untuk main,@syamsuddinsyamsuddin7408,2024-08-09 14:04:38+00:00,0,0
Panser lol,@ArdaArda-y4x,2024-08-09 14:04:09+00:00,0,0
"Haaa gini la onic pakek jersey, asik pakek jaket aja macem org kuriman anjir",@zachzachh_,2024-08-09 14:01:23+00:00,0,0
"Onic d mpl 💀
Onic d msc 🤡",@Jime_owam,2024-08-09 13:56:39+00:00,15,0
"Epos epos terlalu coba-coba roster blok, roster yg udah solid bukannya dimainin kok malah di ubah kocak.",@muhammadibnu8641,2024-08-09 13:54:49+00:00,142,0
"Sekelas evos, emangnevos apa wkwkwk",@mantansantri4099,2024-08-09 13:53:26+00:00,5,0
Douma out,@ArdivaLana,2024-08-09 13:52:38+00:00,2,0
😂😂😂,@devaarya4363,2024-08-09 13:48:49+00:00,1,0
sekelas evos perwakilan msc kok langsung kalah di awal mpl 🫣,@rothfredy6872,2024-08-09 13:48:47+00:00,4,0
Balik kesini krna lg kangen NNAEL wktu jd jungler di AE😭 6:28:45,@asriardiyanti973,2025-06-16 14:48:42+00:00,1,0
pas aeron gak tos kena hujat ini baloy gak mau tos di diemin,@restanima6926,2025-03-31 21:28:36+00:00,0,0
Mmmm🙃😄🚕🚕😂🙂,@wiranantha587,2025-01-09 13:04:32+00:00,0,0
20.00,@RizkySyahputra-q4h,2025-01-01 13:11:27+00:00,0,0
123,@RizkySyahputra-q4h,2025-01-01 13:11:13+00:00,0,0
3:29:35,@RizkySyahputra-q4h,2025-01-01 13:10:59+00:00,0,0
cek awal season dl,@rizafebriadi90,2024-10-06 15:33:33+00:00,0,0
"3:29:35
3:36:45
3:40:03
4:43:03
4:52:51",@giant_mice,2024-10-02 10:53:23+00:00,0,0
7:43:14,@Rafif-q2d,2024-09-13 12:22:59+00:00,0,0
Moore James Johnson Eric Wilson Mary,@LisaRamos-y4s,2024-08-29 19:04:10+00:00,0,0
"Bagus king gugun , tapi kok mlh di ganti player2 nub dan songong",@ariyantoariyanto6330,2024-08-27 14:06:41+00:00,0,0
Clark Lisa Anderson Susan Taylor Susan,@RohimBadsha-i7u,2024-08-26 15:45:33+00:00,0,0
balik lagi cuma pengen liat full nnael wkwk,@riskaae9216,2024-08-21 07:55:08+00:00,0,0
😁,@SaipullIpull,2024-08-18 03:27:56+00:00,0,0
Prgi mpuh dgn kabuki tiak kau..ahahaha,@shahrulArmin-b5y,2024-08-17 16:56:28+00:00,0,0
8:13:26,@adammmhrthhh,2024-08-17 03:05:25+00:00,2,0
7:36:07,@adammmhrthhh,2024-08-17 03:02:48+00:00,1,0
7:08:59,@adammmhrthhh,2024-08-17 03:01:43+00:00,0,0
6:30:40,@adammmhrthhh,2024-08-17 02:57:28+00:00,2,0
6:29:00,@adammmhrthhh,2024-08-17 02:57:01+00:00,0,0
6:28:47,@adammmhrthhh,2024-08-17 02:56:21+00:00,1,0
gg,@rexywaery8870,2024-08-16 02:53:34+00:00,0,0
Masih jelek mainnya AE. Semoga aja improve,@ariaimamul1390,2024-08-16 02:41:27+00:00,0,0
8:07:16,@sted3728,2024-08-13 05:16:58+00:00,2,0
"sumpah ritchie ini apaandah, kayak gaguna gitu wkwkwkkw",@cyricsilhouette,2024-08-13 03:21:05+00:00,0,0
"Baloy Gak mau Bumpfist, bisa jadi karena jari tengah Nnael masih ngacung. Aboy gak jadi pelukan karena takut dikobel-kobel jari tengah.. eeeh tapi kok Super Luke ikut panas yah?? Oh iya... recal-recall nya pakai jari tengah sih...",@rockjawchannel9585,2024-08-13 02:30:46+00:00,0,0
4:13:09,@radithya9417,2024-08-13 02:26:11+00:00,0,0
Dih roamer baper,@Vfailure,2024-08-12 22:06:53+00:00,0,0
8:23:17,@gengen4082,2024-08-12 16:47:07+00:00,1,0
LIGA TANI IS RILL 😹,@Unknown-i8g4,2024-08-12 14:06:27+00:00,1,0
el ngambek😂😂😂,@dustyclipit,2024-08-12 11:58:35+00:00,0,0
ci momo 😢😭😢,@pecintahewansinggasana1118,2024-08-12 05:51:16+00:00,0,0
Baloyskie kenapa kok gak mau tos sama nnael,@Dzikri13458,2024-08-12 04:51:01+00:00,0,0
DIMANA ETIKA RESPECT MU SEBAGAI PROFESIONAL HAI BALOY..,@anismunardy7820,2024-08-12 02:53:00+00:00,3,0
😍,@okaalmi9810,2024-08-12 01:39:45+00:00,0,0
SUDAH TERCIUM FNOC AKAN ANGKAT PIALA LAGI DI SEASON INI😀,@Oksanasini,2024-08-11 15:48:17+00:00,1,0
"8:14:00 😉
THINK SMART OF NNAEL
FIGHT UP TIMNAS BUMI GARUDA 🇮🇩

MOMENT PARTNER BY :

7:10 CAMPINA",@sandiprayoga2082,2024-08-11 15:17:11+00:00,1,0
Mpl yin kok bisa maen ya,@sulistiyani586,2024-08-11 14:46:17+00:00,0,0
"mpl tolong dong setelah match tunjukin history permainan, buat ngeliat build, emblem. supaya nonton ga sekedar hiburan doang, tapi dapet ilmunya juga",@marvelous8558,2024-08-11 14:26:41+00:00,0,0
P,@animewibu-g6g,2024-08-11 13:32:32+00:00,0,0
faramis ngak di ban,@ariadowirawan4810,2024-08-11 13:26:29+00:00,0,0
"For me the weakest region right now is Indo, their 4 time mpl champ, can't even win a single playoff series in international. They should only  have 1 slot in m6.",@Abdul.1884,2024-08-11 13:16:58+00:00,0,0
Kenapa yehezkiel di turunkan di mdl bang padahal mainnya bagus bagus aja kalau menurut gue pribadi,@WildanHadi-lj7ej,2024-08-11 12:24:56+00:00,0,0
"8:12:43 😱🔥
ALTER EGO #DENDAM
TERBALAS ATAS GEEK FAM

NNAEL IS BACK ! 🔥

MVP :

8:26:36 AE NNAEL",@sandiprayoga2082,2024-08-11 11:44:19+00:00,2,0
Ramein baloy ga mau tos biar klarifikasi 😂,@Dikz8,2024-08-11 11:17:59+00:00,0,0
"16:45 🥰
MONICA KHO BEAUTY IS BACK

SCENE :

3:15:44 - 7:43:08 - 8:48:13

8:31:47 🔥
MIC CHECK ALTER EGO
BERBENAH UNTUK TEAM VITALITY 🐝",@sandiprayoga2082,2024-08-11 11:13:02+00:00,0,0
Nino nya kurang di xp,@roesgold8284,2024-08-11 09:14:36+00:00,0,0
8:15:46 el baloy ngambekan... 8:32:35 el caster,@dedhirahman1426,2024-08-11 09:14:12+00:00,8,0
"Nino so asik sendiri , gaje",@ical2850,2024-08-11 09:09:46+00:00,0,0
Semangat,@anwarsaputra3916,2024-08-11 08:49:16+00:00,0,0
🤟😛🤟,@Prince90-fw6dz,2024-08-11 08:10:05+00:00,0,0
Wkwkwk baloy gamau pissbump ama naell😂,@kuninganrandobawailir8756,2024-08-11 08:07:51+00:00,0,0
Ini RRQ vs EVOS lagi?,@Ilhameditzs,2024-08-11 08:02:33+00:00,0,0
baloy pacaran mulu si😂,@essersychy,2024-08-11 07:28:37+00:00,0,0
Dri dlu suka duren si exp nya pas season 13 juga setuju nya rosternya sebenarnya duren,@banHanzo,2024-08-11 07:23:01+00:00,0,0
gg,@llcsm0099,2024-08-11 07:11:42+00:00,0,0
"Wah memang bigetron alfa masih buas dan kuncinya adalah BarBar!!!!!!
Intimidasi ALTER EGO sama aja undang bencana..!!",@TheMARisHero,2024-08-11 07:05:53+00:00,0,0
8:32:33 wkwkw ranger emas malah kosplay baloy😂😂,@yudaasyahputra1951,2024-08-11 06:08:29+00:00,8,0
ulangvlgi kah,@BudiArdiansyah-tb2rt,2024-08-11 05:57:02+00:00,0,0
8:15:46 kenapa balol gak mau tos sama nael? Berita besar nih,@CHARCOALL69,2024-08-11 05:44:26+00:00,2,0
Nama kok haiZz😁😁🤣🤣🤣🤣,@zulfahmiputra4540,2024-08-11 05:35:48+00:00,0,0
