comment,channel_name,date,like_count,dislike_count
"kebanyakan bacot ngomong global ban global ban, Otaknya kagak mikir gara2 pengen hiburan doang, kalo region lain ga global ban buat apaan? ujung2nya nanti M4 ga global ban, yang rugi tim Indo sendiri, terus pulang duluan, kalah semua di fase grup, kecuali global ban diberlakuin di semua tournament ML, kaya MPL M World baru bagus kaya gitu, kalo kita kaya anak autis asik  sendiri pake sistem global ban, malah lucu sendiri. MIKIR!",@mike.6686,2022-08-12 15:11:30+00:00,0,0
"Pantesan Julian masih Ban
Emang ga ada Obat
https://youtu.be/UGjrnJbi3Pk",@banghans10,2022-08-12 15:06:12+00:00,0,0
Hanz ganti hyoer blog asli ga jelas beban team,@dewirahayu1549,2022-08-12 14:48:37+00:00,2,0
Gilaa si geek ni beda bgt cukkk,@onlyyii,2022-08-12 14:45:55+00:00,4,0
Tutor Beatrix kah cadera?,@BlakeFlores22,2022-08-12 14:39:52+00:00,0,0
"Jd kurang seru dari segi pick hero... Terlalu monoton.. Itu itu aja paling 1 2 hero beda. .. Global ban emang lebih seru.. Baru kli ini demen ntn mdl

Tp dr segi championship mpl jauh lebih bergengsi 🙄..",@edwardencez319,2022-08-12 14:38:08+00:00,2,0
HANS tolol bnget apa yg di lakuin di game ke 2&3 bikin geek klah,@moevingaming7134,2022-08-12 14:25:41+00:00,0,0
"Pemain yg paling oke di geek fam  frzz,baloysky,babyww pemandu bakatmu  suruh cari player lain bro",@davro4056,2022-08-12 14:17:29+00:00,1,0
Mana ni kang menit?,@namirtus,2022-08-12 14:14:30+00:00,0,0
Hiper geek goblok retri,@UKIIUkii,2022-08-12 14:07:01+00:00,0,0
Kurang seru.. lebih seru global ban ky MDL,@davro4056,2022-08-12 14:04:32+00:00,9,0
Op,@toxicplayer4656,2022-08-12 14:01:59+00:00,0,0
Mantap RRQ MENANG,@Grisna_25-,2022-08-12 13:50:59+00:00,2,0
"—————·MATCH 1·————
🇮🇩 RRQ HOSHI vs GEEK FAM 🇮🇩

Keys to victory GEEK FAM = 46:59
Keys to victory RRQ HOSHI = 47:28

• Game 1 •

Draft = 49:55
Play = 57:47 (14 menit 22 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 1:17:18
Kill participation = 1:19:04
MVP = 1:19:50
Highlight = 1:21:05

———————————————

• Game 2 •

Draft = 1:27:16
Play = 1:33:55 (26 menit 39 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 2:02:57
Kill participation = 2:04:08
MVP = 2:06:36
Highlight = 2:07:25

———————————————

• Game 3 •

Draft = 2:22:11
Play = 2:29:19 (20 menit 2 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 2:55:59
Kill participation = 2:56:55
MVP = 2:58:25
Highlight = 2:59:10

Mic check GEEK FAM = 3:00:27
Mic check RRQ HOSHI = 3:01:01

—————·MATCH 2·————
🇮🇩 REBELLION vs BIGETRON 🇮🇩

Keys to victory REBELLION ZION = 3:48:16
Keys to victory BIGETRON ALPHA = 3:50:03

• Game 1 •

Draft = 3:51:51
Play = 4:02:48 (25 menit 40 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 4:31:23
Kill participation = 4:32:28
MVP = 4:33:26
Highlight = 4:34:38

———————————————

• Game 2 •

Draft = 4:41:04
Play = 4:52:43 (10 menit 46 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 5:14:37
Kill participation = 5:15:23
MVP = 5:15:55
Highlight = 5:16:50

Mic check pemenang = 5:17:43
———————————————
KLASEMEN = 5:25:12
———————————————
Usn MLBB = Zidgarx",@foxysvt6758,2022-08-12 13:48:35+00:00,150,0
5:02:38,@rizkyy416,2022-08-12 13:45:08+00:00,7,0
yah telat gara gara wipi ngeleg pas nonton live,@R4DKN1GHTS,2022-08-12 13:29:10+00:00,0,0
🥶,@faanatic8485,2022-08-12 13:26:42+00:00,0,0
semangat rrq👑,@mhmd.raihan,2022-08-12 13:25:02+00:00,4,0
Gg,@tommyakunbaru3019,2022-08-12 13:21:23+00:00,0,0
Ketiga?,@kanyewest8460,2022-08-12 13:20:25+00:00,0,0
GG,@alpymocanochin3231,2022-08-12 13:20:23+00:00,0,0
a,@blackzores,2022-08-12 13:19:59+00:00,0,0
TUTOR KALAH 4-0 DI CENEL PPQ HOSHI🤡TUTOR KALAH 4-0 DI CENEL PPQ HOSHI🤡TUTOR KALAH 4-0 DI CENEL PPQ HOSHI🤡TUTOR KALAH 4-0 DI CENEL PPQ HOSHI🤡TUTOR KALAH 4-0 DI CENEL PPQ HOSHI🤡,@jasonmumbunan038,2022-08-12 13:19:23+00:00,1,0
Terakhir 😂,@ahmad_habib5899,2025-05-26 08:00:31+00:00,0,0
2025,@Airel-v7l,2025-05-16 09:43:23+00:00,0,0
Mpl ph s11,@SokhibDolopo,2024-03-10 10:27:42+00:00,0,0
Kisah,@SokhibDolopo,2024-03-10 10:27:23+00:00,0,0
6:42:51,@Traaa.22042,2023-12-28 10:42:14+00:00,0,0
4:04:23 eh eh hahahahha,@Aauliaa_,2023-12-11 18:12:04+00:00,0,0
5:35:30,@reihanwilbert2073,2022-09-29 05:00:26+00:00,0,0
5:35:20,@reihanwilbert5765,2022-08-20 00:13:15+00:00,0,0
PENGEN LIAT LJ MAIN,@hp-yb8tg,2022-08-19 01:00:02+00:00,0,0
1:58:12,@manggangkakap9722,2022-08-17 05:49:40+00:00,1,0
5:35:20 mana KTPnya?,@mapleeeeeeeee,2022-08-16 11:46:37+00:00,1,0
Cepat tapi gk jelas,@dimaswew9932,2022-08-16 08:56:56+00:00,0,0
"Itu caster cewek nya kumur"" apa cemana",@dimaswew9932,2022-08-16 08:56:38+00:00,0,0
3 h lalu,@ALFABANGAL,2022-08-16 08:15:11+00:00,1,0
6:59:50 wahh keknya panitia kangen antimage. Ampe jadi tazzmax🤣,@arwanasrurimukhammad6259,2022-08-16 05:33:18+00:00,0,0
"Salah gambar, yg nonggol foto antimage😂 6:59:51",@kocakgamingsumbawa974,2022-08-16 01:46:33+00:00,0,0
Ngakak Parah Gara” Dwiwoi 🤣,@pandavape674,2022-08-15 15:06:27+00:00,4,0
5:35:10,@rianadipratama281,2022-08-15 12:53:25+00:00,0,0
5:35:10,@shawyrafli8142,2022-08-14 22:51:48+00:00,3,0
5:35:10,@zefansenpai7450,2022-08-14 15:43:34+00:00,0,0
"1:13:38 R7 Esme lord steal using 2nd skill (🤯)

1:17:51 2nd lord steal (Alberttt) 

1:33:06 3 waves pushing in + No outer turret left + 30 mins enhanced lord marching in + cancelled feather strike AND YET STILL A SUCCESSFUL DEFENCE + COME BACK TO WIN THE GAME 🤯🤯🤯🤯🤯",@chemistry8007,2022-08-14 13:28:22+00:00,4,0
7:53:43,@m.ikhsanalfathir1247,2022-08-14 12:35:47+00:00,0,0
5:35:19,@piscokin.azaatlg,2022-08-14 09:49:39+00:00,2,0
Ko beda ya sama jadwal di ML gua kira rrq maen sekarang,@nurelisah3111,2022-08-14 07:15:23+00:00,1,0
GO ONIC 💛,@_gatau_,2022-08-14 06:57:48+00:00,1,0
Semangat evos ku,@aminullahsquerpants5864,2022-08-14 05:05:26+00:00,1,0
"3:46:07 kasi kecepatannya 0,5.. dijamin berdiri",@Ai_G3NG,2022-08-14 04:33:31+00:00,3,0
Coach evos taik,@Begalteam2097,2022-08-14 03:57:41+00:00,0,0
00:01 momen epic,@alghifarri4668,2022-08-14 03:07:28+00:00,9,0
bang menit tolong muncullah,@meildamei3309,2022-08-14 00:21:46+00:00,0,0
sayang bajan nya ngicer KDA,@gipariirgi7329,2022-08-13 23:16:27+00:00,0,0
"Evos sepertinya lagi uji coba roaster
Mantapp Evos Legends new era 💙💙",@FarhanAfriansyahh,2022-08-13 23:06:11+00:00,2,0
1:39:00 Tidak ada mpl yang aman,@fazar8932,2022-08-13 22:05:47+00:00,9,0
Butts Gate ngajarin epos,@jajangsinatra6869,2022-08-13 21:26:19+00:00,1,0
jam ke  3:46:22 ini pake lagu apa yaaa? 🥹🥹🥹 susah bgt carinya 😭😭😭,@owvielovina1525,2022-08-13 20:19:48+00:00,0,0
Tetep RRQ🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,@aenurriski456,2022-08-13 19:31:16+00:00,0,0
5:39:35 BUDEEE KENAPA NYEBUT MPL S8 SIH.😂😂😂,@FarhanAndylan,2022-08-13 18:58:35+00:00,2,0
"Ga seru ah btr, dicomeback gitu doang langsung down mentalnya. butuh psikologi nih ko ed",@azreildisky1067,2022-08-13 18:55:27+00:00,0,0
P,@dirawpuan,2022-08-13 18:38:25+00:00,0,0
Lokasi dimn,@tarunataruna3733,2022-08-13 17:31:52+00:00,0,0
Kok xavier gapernah keluar ya?,@sofyanmaulana3804,2022-08-13 16:39:25+00:00,1,0
57:28,@sabiqm.a8872,2022-08-13 16:29:32+00:00,4,0
Penasaran ama mic checknya,@yzgaming5547,2022-08-13 16:28:49+00:00,26,0
Claudenya match 1 lawak,@vikirezafz6676,2022-08-13 16:01:41+00:00,0,0
"BTR cupu,evos suhu ygy 🙏🙏🤭🤭😂😂",@bastianbireun6127,2022-08-13 15:39:12+00:00,1,0
"Jangan dulu bangga pada tim masing"" , karena yg udah"" dibanggain di kejuaraan duinia mlh ngfed 😂",@vittacomel4071,2022-08-13 15:26:02+00:00,1,0
6:59:52 napa ada muka antimage,@pikrii274,2022-08-13 15:18:33+00:00,13,0
"Gaa nyangka evos bisa menang, padahal gua kepingin dlar yang maen",@phrrincee,2022-08-13 14:35:41+00:00,6,0
EVOSROAR💙,@wahyuzikri,2022-08-13 14:24:21+00:00,5,0
menang kalah #evosroar,@dawetofficial3463,2022-08-13 14:20:26+00:00,7,0
Gue Vans evos legend go go go ...,@rivalsandriana7159,2022-08-13 14:16:12+00:00,7,0
Import meta,@pinoishunter,2022-08-13 14:15:13+00:00,4,0
Ini nih baru generation evos legend mantab keren,@rivalsandriana7159,2022-08-13 14:13:35+00:00,24,0
"————–·MATCH 3·————–
🇮🇩 ALTER EGO vs GEEK FAM 🇮🇩

Keys to victory ALTER EGO = 50:45
Keys to victory GEEK FAM = 51:22

• Game 1 •

Draft = 54:28
Play = 1:03:42 (15 menit 6 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 1:24:09
Kill participation = 1:25:25
MVP = 1:26:22
Highlight = 1:29:04

———————————————

• Game 2 •

Draft = 1:35:33
Play = 1:44:30 (13 menit 38 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 2:06:12
Kill participation = 2:07:08
MVP = 2:08:07
Highlight = 2:09:04

Mic check pemenang = 2:11:10

—————–·MATCH 4·—————
🇮🇩 ONIC ESPORT vs REBELLION 🇮🇩

Keys to victory ONIC ESPORT = 3:20:21
Keys to victory REBELLION ZION = 3:20:49

• Game 1 •

Draft = 3:22:00
Play = 3:31:41 (14 menit 51 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 3:49:20
Kill participation = 3:50:02
MVP = 3:51:03
Highlight = 3:51:33

———————————————

• Game 2 •

Draft = 4:06:44
Play = 4:14:06 (11 menit)

(Play dulu kalau engga mau ke spoiler)

Results = 4:33:14
Kill participation = 4:34:26
MVP = 4:35:32
Highlight = 4:36:04

Mic check pemenang = 4:37:37

—————·MATCH 5·————–—–
🇮🇩 BIGETRON vs EVOS LEGENDS 🇮🇩

Keys to victory BIGETRON ALPHA = 5:48:48
Keys to victory EVOS LEGENDS = 5:49:12

• Game 1 •

Draft = 5:52:01
Play = 6:03:47 (25 menit 39 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 6:32:04
Kill participation = 6:33:03
MVP = 6:33:32
Highlight = 6:34:07

———————————————

• Game 2 •

Draft = 6:59:52
Play = 7:09:45 (15 menit 14 detik)

(Play dulu kalau engga mau ke spoiler)

Results = 7:32:15
Kill participation = 7:33:34
MVP = 7:34:56
Highlight = 7:35:22

Mic check pemenang = 7:37:22
———————————————
KLASEMEN = 7:40:18
———————————————
Usn MLBB = Zidgarx",@foxysvt6758,2022-08-13 14:07:58+00:00,201,0
Pawang menit mana nih,@Hamcornkw,2022-08-13 14:07:00+00:00,4,0
Kang menit pensi kah adik2?,@pemudabanteng2423,2022-08-13 13:49:53+00:00,5,0
Rbl jual aj ke gpx percuma Cuna jd badut,@Ayzieazzahra2108,2022-08-13 13:48:03+00:00,7,0
#BujEDout,@kadekaryaputra9164,2022-08-13 13:46:24+00:00,3,0
"RRQ MEMANG KERAS, TAPI INGAT EVOS MELEGENDA, CUAAAKSSSS M1",@herryynt8086,2022-08-13 13:43:32+00:00,8,0
Evos menang. Langsung ilang penonton..apa itu dinamakan penonton goib.. wkwk..,@ilhamg1785,2022-08-13 13:37:24+00:00,24,0
Evosroar,@KEN-tp8di,2022-08-13 13:35:41+00:00,8,0
BUTUH PAHLAWAN MENIT😁,@jasonmumbunan038,2022-08-13 13:33:55+00:00,5,0
"GG LEGENDS
Salam supersonic💙💛",@Ju10mn5,2022-08-13 13:32:56+00:00,26,0
PESULAP KUNING ITU NYATA,@michaelliebert78,2022-08-13 13:32:34+00:00,5,0
wow,@shahrulnizam4519,2022-08-13 13:31:27+00:00,3,0
Kelazzz evos💙,@idontknow_169,2022-08-13 13:31:05+00:00,10,0
Master detik mana,@rafliandryansyah5041,2022-08-13 13:30:06+00:00,3,0
cr1te ni bosss,@kacangtelur2104,2022-08-13 13:30:03+00:00,2,0
Ke 3,@sandaljepit1248,2022-08-13 13:27:02+00:00,3,0
Padahal evos lagi Coba coba roster loo malah 2-0,@igodwipamahardika2637,2022-08-13 13:26:13+00:00,16,0
Second Woi,@IldamYeager,2022-08-13 13:25:36+00:00,1,0
Pertama,@aanawokawok1107,2022-08-13 13:24:47+00:00,1,0
Apa ada yang masih nonton di 2024 😅,@tachyie5657,2024-08-19 16:42:33+00:00,1,0
1:54:27,@Traaa.22042,2023-12-30 17:36:07+00:00,0,0
28:13,@Kazuya75SVTY,2023-10-17 14:17:33+00:00,0,0
Comeback is real,@almairacallista2701,2022-11-21 05:05:04+00:00,0,0
"2:13:55 yg teriak-teriak + loncat-loncat di game 1, suka banget gw liat muka lu pas game 2 selesai.",@ash99a,2022-08-24 17:11:40+00:00,0,0
"Knpa plyer evos mdl ke mpl ya pantesan kalah ,mna Lmnr ,rekt,anti mage 😪",@tonihidayt8535,2022-08-19 20:47:33+00:00,0,0
Pus rank ma evos yukkkk,@Indrawannn-u7i,2022-08-19 14:14:38+00:00,0,0
Lagi nunggu TEVOS kalah sama Geek Fam,@legendnyashadowfight7410,2022-08-19 01:54:35+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:02:04+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:02:00+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:01:55+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:01:47+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:01:41+00:00,0,0
"LUCU LO EVOS REGENERASI BERUJUNG FRUSTASI🤣🤣🤣🤣🤣🤮🤮🤮🤮🤮
KATANYA MENANG M1 KOK MAINNYA KAYAK SAMPAH REAALLL BUTA MAPPPPPP😵😵😵😵😵😵🤭🤭🤭🤭",@persebaya_official782,2022-08-17 18:01:32+00:00,0,0
Kabuki Match 2 mulai taunting coy AWOAKOWK,@haizech.,2022-08-17 15:17:14+00:00,2,0
3:59:29 Menit menit Kabuki Split push mid + Solo Base ☝️😎,@haizech.,2022-08-17 15:03:00+00:00,7,0
Amnyink Godiva emote aerowolf melulu,@haizech.,2022-08-17 14:52:19+00:00,1,0
"Kasiahan evos season ini kalah jauh dari tim yg lain 
GK bisa apa2 no skill",@indahl5541,2022-08-17 13:28:43+00:00,1,0
Si KB pede banget ngomong King Hapis.,@haizech.,2022-08-17 13:04:44+00:00,1,0
"1:54:21
Yg nyari mentahan lemon kepergok ngaca 😂",@cobrachan2004,2022-08-17 12:19:00+00:00,1,0
Evos gini amat 😅,@syaehulislam3893,2022-08-17 05:19:39+00:00,0,0
"Terkadang terlalu fokus lord , turet juga harus di jaga",@lanng_sans,2022-08-17 04:09:33+00:00,0,0
"Gemes njir liat nata nya, udah keliatan kaga ada celah malah maksa buang waktu nunggu celah 😂 mending splitting clear wave minion",@konbanwa.creative,2022-08-17 03:39:05+00:00,0,0
"4:59:55 🔥
WE OWN THIS ✊
Original Song For MPL Ladies

For Unipin Ladies SEA Cup 2022

See You
22 - 28 August 2022 ! 😉",@sandiprayoga2082,2022-08-17 03:25:34+00:00,1,0
"GEEK REVAMP : -1 Jungler
EVOS : - 1 Exp Laner",@sunilay8279,2022-08-16 20:22:17+00:00,1,0
Aura entar ktemu RRQ nangis 😂,@hasanmokonk4493,2022-08-16 17:56:23+00:00,0,0
"Janji bahas sejarah,kena mental sama minnion",@pansersersan7221,2022-08-16 15:01:11+00:00,1,0
ingat. awal bukan lah akhir bro!!!!!!!,@zgg703,2022-08-16 13:31:17+00:00,0,0
2 h lalu,@ALFABANGAL,2022-08-16 12:53:25+00:00,1,0
